Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,450500,Conductivity,Measured,1992-01-14T17:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-02-14T17:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-03-14T17:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-04-14T17:00Z,12.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-05-14T17:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-06-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-08-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-09-14T17:00Z,7.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-10-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-11-14T17:00Z,8.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1992-12-14T17:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-01-14T17:00Z,10.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-02-14T17:00Z,10.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-03-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-04-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-05-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-06-14T17:00Z,6.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-07-14T17:00Z,8.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-08-14T17:00Z,4.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-09-14T17:00Z,4.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-10-14T17:00Z,4.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-11-14T17:00Z,3.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1993-12-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-01-14T17:00Z,17.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-02-14T17:00Z,5.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-03-14T17:00Z,7.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-04-14T17:00Z,7.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-05-14T17:00Z,9.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-06-14T17:00Z,9.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-07-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-08-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-09-14T17:00Z,9.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-10-14T17:00Z,15.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-11-14T17:00Z,21.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1994-12-14T17:00Z,9.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1995-01-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,Conductivity,Measured,1995-02-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
